name,dwelling,2020DEC,2021JAN,2021FEB,2021MAR,2021APR,2021MAY,2021JUN,2021JUL,2021AUG,2021SEP,2021OCT
City of London,6506 ,1757,1795,1775,1809,1796,1815,1869,1975,2147,2153,2117
Barking and Dagenham,75829 ,1311,1288,1258,1289,1328,1322,1297,1334,1345,1335,1339
Barnet,152946 ,1543,1566,1562,1577,1567,1537,1547,1543,1571,1609,1627
Bexley,98391 ,1377,1380,1356,1362,1376,1378,1377,1383,1415,1395,1397
Brent,120448 ,1613,1563,1523,1537,1554,1610,1624,1647,1638,1647,1671
Bromley,139684 ,1460,1448,1417,1477,1544,1498,1495,1475,1489,1494,1485
Camden,105598 ,1757,1795,1775,1809,1796,1815,1869,1975,2147,2153,2117
Croydon,161060 ,1102,1092,1126,1124,1122,1142,1144,1167,1203,1216,1206
Ealing,135305 ,1483,1473,1421,1503,1508,1454,1470,1569,1636,1607,1622
Enfield,126255 ,1506,1595,1614,1582,1528,1512,1576,1583,1542,1550,1554
Greenwich,114398 ,1377,1380,1356,1362,1376,1378,1377,1383,1415,1395,1397
Hackney,111559 ,1395,1424,1448,1443,1423,1421,1432,1495,1518,1541,1578
Hammersmith and Fulham,89186 ,1893,1906,1976,1935,1883,1920,1988,2037,2127,2174,2190
Haringey,109388 ,1565,1534,1556,1610,1605,1581,1578,1638,1761,1809,1796
Harrow,91909 ,1402,1392,1380,1378,1383,1384,1383,1405,1412,1393,1368
Havering,102459 ,1311,1288,1258,1289,1328,1322,1297,1334,1345,1335,1339
Hillingdon,110734 ,1402,1392,1380,1378,1383,1384,1383,1405,1412,1393,1368
Hounslow,101838 ,1465,1481,1525,1513,1483,1468,1498,1515,1512,1537,1562
Islington,103740 ,1565,1534,1556,1610,1605,1581,1578,1638,1761,1809,1796
Kensington and Chelsea,87726 ,1893,1906,1976,1935,1883,1920,1988,2037,2127,2174,2190
Kingston upon Thames,67642 ,1360,1334,1338,1337,1381,1425,1435,1442,1455,1501,1584
Lambeth,141507 ,2014,1999,2065,2055,2048,2053,2083,2124,2239,2380,2435
Lewisham,128115 ,1508,1555,1549,1588,1563,1548,1569,1614,1737,1769,1745
Merton,84570 ,1360,1334,1338,1337,1381,1425,1435,1442,1455,1501,1584
Newham,116979 ,1395,1424,1448,1443,1423,1421,1432,1495,1518,1541,1578
Redbridge,104688 ,1239,1260,1304,1310,1304,1272,1278,1306,1357,1342,1322
Richmond upon Thames,85564 ,1465,1481,1525,1513,1483,1468,1498,1515,1512,1537,1562
Southwark,136178 ,1508,1555,1549,1588,1563,1548,1569,1614,1737,1769,1745
Sutton,83553 ,1360,1334,1338,1337,1381,1425,1435,1442,1455,1501,1584
Tower Hamlets,121539 ,1517,1513,1506,1551,1584,1611,1642,1649,1750,1857,1879
Waltham Forest,103642 ,1239,1260,1304,1310,1304,1272,1278,1306,1357,1342,1322
Wandsworth,148075 ,1797,1820,1815,1845,1849,1870,1869,1864,1960,2071,2054
Westminster,125312 ,2232,2273,2251,2228,2171,2183,2349,2491,2593,2646,2761
